,0,1,2,3,4
0,-0.17891228,-0.04442404,0.44470784,-6.4662066,0.069891125
1,-0.16547352,0.03645438,-0.10046393,-0.18239805,-0.36852634
2,0.3885804,0.38966015,-0.5046557,1.7893898,-0.010264959
3,0.44385746,0.9501069,1.3160566,0.8449674,0.23291881
4,-0.14729826,-0.21143968,1.3473583,-0.08875305,-5.6785083
5,-0.22045198,-1.3055224,0.4392341,-0.07739087,0.34227008
6,-0.38964364,-0.10012755,-0.39167055,0.11367606,-0.43586573
7,-0.52963793,-0.32997563,0.69423026,0.17282207,-1.1979362
8,0.48356578,-0.9282376,0.0020904979,0.15068777,0.48668203
9,3.7968192,0.017608555,-0.34266368,-0.04120731,-0.24302323
10,-3.6351876,0.16252868,-0.36576468,0.33987758,-0.35557994
11,0.11115753,-6.6160665,0.015808193,0.012074944,0.3585411
12,0.36653355,0.26380268,0.69555753,-0.08863934,-2.679261
13,0.041536022,-0.726576,0.07363634,0.30233076,0.22253114
14,0.13286233,-0.16136597,0.6257513,0.3875317,0.68915176
15,0.18647063,-0.8616081,1.7901491,0.89983314,0.43605605
16,-0.42577857,-0.11755595,-3.3330982,-0.58451307,0.060877107
17,0.7128458,0.20301753,-2.1973033,1.0205485,0.02434403
18,-0.51949155,-0.051369846,-1.2545787,-0.47992787,-0.77494186
19,-0.40601033,0.057816606,-0.6958582,0.27928832,-0.05220192
20,-0.34633937,-1.1091977,0.6104094,0.20581226,0.022293879
21,-3.4890559,0.099794,0.7528369,-0.036650997,0.32037613
22,0.17692207,-0.65019566,0.06445052,-0.34895188,0.19192827
23,-0.3768175,0.0692207,0.7230668,-0.30622724,-0.8129394
24,0.3436797,-0.15726084,0.27968207,-0.053310636,0.29764253
25,-0.49795774,-0.34857577,0.090124846,-0.21556531,0.52915424
